filename,size_x,size_y,x0,y0,x1,y1,hierarchy_level
Threed_Mach Pizza_1F,256,128,6912,9344,7168,9472,2
Threed_Skyrunner_B1F,256,128,6400,9600,6656,9728,2
Threed_Under Graveyard_1F,256,256,4352,8192,4608,8448,2
Transitions_Dusty Dunes to Fourside_Dusty-Dunes-to-Fourside-Bridge,512,128,7680,8576,8192,8704,2
Transitions_Dusty Dunes to Fourside_Fourside-Bridge-to-Fourside,768,128,5632,3328,6400,3456,2
Transitions_Dusty Dunes to Fourside_Fourside-Bridge,1536,256,4352,9856,5888,10112,2
Transitions_Grapefruit Falls to Saturn Valley_Hallway-1,768,128,7424,3200,8192,3328,2
Transitions_Grapefruit Falls to Saturn Valley_Hallway-2,256,128,6656,3456,6912,3584,2
Transitions_Grapefruit Falls to Saturn Valley_Room-1,192,128,6656,3200,6848,3328,2
Transitions_Twoson to Peaceful Rest Valley_Tunnel-1,256,128,6912,9984,7168,10112,2
Transitions_Twoson to Peaceful Rest Valley_Tunnel-2,512,128,7424,9984,7936,10112,2
Transitions_Twoson to Threed_Road-to-Threed,1024,512,2304,7424,3328,7936,2
Transitions_Twoson to Threed_Tunnel-A,2048,128,5888,10112,7936,10240,2
Transitions_Twoson to Threed_Tunnel-B,768,128,6144,0,6912,128,2
Twoson_Apple Kid's House_1F,256,128,7680,7808,7936,7936,2
Twoson_Bus Station_1F,384,192,7168,8448,7552,8640,2
Twoson_Chaos Theater_1F,256,128,7424,7296,7680,7424,2
Twoson_Cycle Shop_1F,256,128,6912,7552,7168,7680,2
Twoson_Department Store_1F,1024,640,6400,6912,7424,7552,2
Twoson_Everdred's Shack_1F,192,128,7680,8064,7872,8192,2
Twoson_Hint Man's House_1F,256,128,7936,7168,8192,7296,2
Twoson_Hospital_1F,384,128,7680,8704,8064,8832,2
Twoson_Hotel_1F,320,128,7424,7168,7744,7296,2
Twoson_Mach Pizza_1F,192,128,6400,7680,6592,7808,2
Twoson_Orange Kid's House_1F,256,128,7680,7552,7936,7680,2
Twoson_Polestar_1F,320,128,7424,7424,7744,7552,2
Winters_Andonuts Lab_1F,512,256,7680,2688,8192,2944,2
Winters_Brickroad Dungeon_1F,1024,512,1024,3328,2048,3840,2
Winters_Drug Store_1F,256,128,7424,2432,7680,2560,2
Winters_Rainy Circle_1F,768,256,6144,4864,6912,5120,2
Winters_Snow Wood_1F,384,192,7680,2432,8064,2624,2
Winters_Stonehenge Base_B1F,256,256,6912,3584,7168,3840,2
Transitions_Belch's-Base-to-Saturn-Valley,768,128,7424,7040,8192,7168,1
Transitions_Paula's-Cabin-to-Happy-Happy,512,128,3840,3328,4352,3456,1
Transitions_Peaceful-Rest-Valley-to-Happy-Happy,512,128,4864,2432,5376,2560,1
Transitions_Saturn-Valley-to-Milky-Well,512,128,7168,4992,7680,5120,1
Transitions_Threed-to-Dusty-Dunes,1280,128,4352,10112,5632,10240,1
Dalaam,1024,1024,4096,3328,5120,4352,0
Deep-Darkness,2048,1280,4352,6912,6400,8192,0
Dusty-Dunes-Desert,4096,1536,256,8704,4352,10240,0
Fourside,2048,2048,2048,3328,4096,5376,0
Grapefruit-Falls,768,2432,6144,128,6912,2560,0
Happy-Happy-Village,1024,1024,3328,7424,4352,8448,0
Lost-Underworld,1280,1024,1792,2304,3072,3328,0
Magicant,1536,1280,4864,3584,6400,4864,0
Moonside,1024,1280,7168,3584,8192,4864,0
Onett,3072,3328,0,0,3072,3328,0
Peaceful-Rest-Valley,2048,1792,4096,768,6144,2560,0
Saturn-Valley,768,1024,0,7168,768,8192,0
Scaraba,1024,2048,1024,3840,2048,5888,0
Summers-and-Toto,3584,768,4096,2560,7680,3328,0
Threed,2304,1664,4352,8192,6656,9856,0
Twoson,3584,3072,256,5888,3840,8960,0
Winters,1024,3072,0,2048,1024,5120,0
